Catégorie;Icon(font);Nom;Url;Tags;Description (168 caractères);Utilisé ?;Image;Note/100;;
Components;sitemap;Google Material Design;http://www.getmdl.io/;Google,Material Design; Lets you add a Material Design look and feel to your websites;V;mdl;100;;
;;Boostrap;http://getbootstrap.com/;Components,Grid;The most popular HTML, CSS, and JS framework for developing responsive, mobile first projects on the web;V;bootstrap;85;;
;;Material AngularJS;https://material.angularjs.org/;AngularJS,Material Design;Angular Material is  a reference implementation of Google's Material Design Specification for AngularJS ;X;angularmaterial;;;
;;Materialize Css;http://materializecss.com/;Material Design,Grid;A modern responsive front-end framework based on Material Design;X;materializecss;;;
;;;;;;;;;;
Libraries;book;Masonry;http://masonry.desandro.com/;Masonry,Grid;A JavaScript grid layout library;V;masonry;80;;
;;Owl Carousel;http://owlgraphic.com/owlcarousel/;Carousel;Touch enabled jQuery plugin that lets you create beautiful responsive carousel slider;X;owl;;;
;;FullPage slider;http://alvarotrigo.com/blog/fullpage-jquery-plugin-for-fullscreen-scrolling-websites/;Slider;Plugin for fullscreen scrolling websites;V;fullPage;90;;
;;Animated Diagram;http://tympanus.net/Tutorials/AnimatedSkillsDiagram/;Skills;A simple animated skills diagram;X;skilldiagram;;;
;;Appear;http://plugins.jquery.com/appear/;Lazy-Load;Implements a custom appear/disappear events which are fired when an element became visible/invisible;X;;;;
;;Css-Flip;https://davidwalsh.name/css-flip;;The CSS flip effect, whereby there's content on both the front and back of a given container;X;;;;
;;Isotope;http://isotope.metafizzy.co/;Filtre,Masonry;Filter & sort magical layouts with masonry;X;isotope;;;
;;Flickity;http://flickity.metafizzy.co/;Galleries;Touch, responsive and flickable galleries;X;flickity;;;
;;Packery;http://packery.metafizzy.co/;Masonry,Dashboard;Gapless, draggable grid layouts (great for dashboard);X;packery;;;
;;Metropanel;http://docs.sonhlab.com/metropanel-jquery-plugin-documentation/;Panel;A jQuery plugin that use to make a panel for your web application;V;metropanel;80;;
;;Animate Css;http://daneden.github.io/animate.css/;Lazy-Load;Just-add-water CSS animations;V;animate;95;;
;;Slick;http://kenwheeler.github.io/slick/;Carousel;The last carousel you'll ever need;X;slick;;;
;;Cytoscape;http://js.cytoscape.org/;Graph;Graph theory (a.k.a. network) library for analysis and visualisation;V;cytoscape;80;;
;;Highcharts;http://www.highcharts.com/;Charts;Create interactive charts easily for your web projects;V;highcharts;95;;
;;Vis Js;http://visjs.org/;Graph,Timeline;A dynamic, browser based visualization library;X;visjs;;;
;;DataTables;https://datatables.net/;Table;DataTables is a table plug-in for the jQuery Javascript library;X;datatables;;;
;;;;;;;;;;
Templates;eye;CodePen;http://codepen.io/;Templates;Created to find example design patterns and inspiration for your projects;V;codepen;95;;
;;Graphic Burger;http://graphicburger.com/;Design resources;GraphicBurger is a buffet of premium quality design resources offered for free to the community;X;graphicburger;;;
;;Css Reel;http://cssreel.com/;Templates;CssReel is the premier web template design specialist for various websites;X;cssreel;;;
;;One Page Mania;http://www.onepagemania.com/;Templates;One Page Mania is a review showcase of only the best One Page Websites from around the web;X;onepagemania;;;
;;Transparent Textures;http://www.transparenttextures.com/;Textures;400 patterns at your fingertips ready to export for web;V;transtextures;90;;
;;;;;;;;;;
Schema;object-group;Pop;https://popapp.in/;Prototype;Pop helps you transform your pen + paper ideas into a real working prototype;X;pop;;;
;;Moqups;https://app.moqups.com/;Prototype;Moqups makes it easy to quickly mock your website or mobile app and add interactivity;X;moqups;;;
;;Draw.io;https://www.draw.io/;Diagram;Draw.io is a free to use online diagramming application;V;drawio;95;;
;;;;;;;;;;
Icon & Font;fort-awesome;Font-Awesome;http://fortawesome.github.io/Font-Awesome/;Font,Icons;Gives you scalable vector icons that can instantly be customized (size, color, drop shadow, etc…);V;fontawesome;100;;
;;Flat Icon;http://www.flaticon.com/;Icons;A large database of free icons;V;flaticon;95;;
;;The Noun Project;https://thenounproject.com/;Icons;Over 150,000 icons designed by creators from around the world;V;thenoun;95;;
